opportunity_code;company_code;contact_code;description;amount_eur;legacy_status;opened_on;expected_close_on;historical_campaign_code;fair_edition_code;stand_area_sqm;client_budget_eur;requested_height_m;brief_notes
OP000015;CO008786;CO008786-P01;Exhibition stand with lockable storage;40800,00;Lost;24/02/2026;27/04/2026;CMP-2025-EVENT;BEAUTY-2026;96,00;44880,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000016;CO006705;CO006705-P01;Custom stand for product launch;52000,00; qualified ;11/02/2026;07/09/2026;CMP-2024-WEB;PACK-2026;80,00;57200,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000017;CO004624;;Custom stand for product launch;128000,00;Proposal;07/05/2026;13/10/2026;CMP-2026-OUT;LIVING-2026;160,00;128000,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000018;CO002543;CO002543-P01;Exhibition stand with lockable storage;52000,00;Qualified;05/03/2026;15/11/2026;CMP-2024-WEB;FOOD-2026;80,00;52000,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000019;CO000462;CO000462-P01;Stand refurbishment and installation;13600,00;OPEN;04/07/2026;08/06/2027;;BEAUTY-2027;32,00;14960,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000020;CO008381;CO008381-P03;Island stand for distributor meetings;48000,00;Won;23/02/2026;02/10/2027;CMP-2025-REF;PACK-2027;96,00;52800,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000021;CO006300;CO006300-P01;Modular stand with new graphics;68000,00; open ;03/08/2026;28/09/2027;CMP-2026-OUT;LIVING-2027;160,00;74800,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000022;CO004219;CO004219-P01;Modular stand with new graphics;24000,00; lost ;18/03/2026;12/10/2027;CMP-2025-REF;FOOD-2027;48,00;24000,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000023;CO002138;CO002138-P03;Modular stand with new graphics;20800,00;WON;28/01/2024;03/05/2024;CMP-2026-OUT;BEAUTY-2024;32,00;22880,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000024;CO000057;CO000057-P01;Modular stand with new graphics;40800,00;Lost;15/07/2024;07/09/2024;CMP-2025-EVENT;PACK-2024;96,00;40800,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000025;CO007976;CO007976-P02;Corner stand with demonstration counter;20800,00; lost ;28/07/2024;04/10/2024;CMP-2025-REF;LIVING-2024;32,00;20800,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000026;CO005895;CO005895-P01;Modular stand with new graphics;64000,00; lost ;03/09/2024;27/10/2024;;FOOD-2024;80,00;57600,00;4,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000027;CO003814;CO003814-P02;Two-brand stand with shared reception;12000,00;WON;09/10/2024;06/05/2025;CMP-2024-WEB;BEAUTY-2025;24,00;12000,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000028;CO001733;CO001733-P02;Island stand for distributor meetings;52000,00;Lost;10/03/2025;02/09/2025;CMP-2025-EVENT;PACK-2025;80,00;52000,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000029;CO009652;CO009652-P02;Two-brand stand with shared reception;84000,00;WON;04/05/2025;;CMP-2025-EVENT;LIVING-2025;240,00;92400,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000030;CO007571;CO007571-P01;Reuse of last edition's stand;8400,00;Lost;24/07/2025;13/10/2025;CMP-2025-REF;FOOD-2025;24,00;9240,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000031;CO005490;CO005490-P01;Reuse of last edition's stand;80000,00;WON;16/03/2026;26/04/2026;CMP-2026-OUT;BEAUTY-2026;160,00;88000,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000032;CO003409;CO003409-P01;Custom stand for product launch;48000,00; open ;10/07/2026;01/10/2026;CMP-2025-REF;PACK-2026;96,00;43200,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000033;CO001328;CO001328-P01;Modular stand with new graphics;52000,00;Proposal;23/04/2026;16/10/2026;CMP-2025-EVENT;LIVING-2026;80,00;52000,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000034;CO009247;;Modular stand with new graphics;51200,00;Qualified;07/04/2026;12/10/2026;CMP-2024-WEB;FOOD-2026;64,00;46080,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000035;CO007166;CO007166-P03;Two-brand stand with shared reception;96000,00;QUALIFIED;21/06/2026;01/05/2027;;BEAUTY-2027;120,00;86400,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000036;CO005085;CO005085-P01;Reuse of last edition's stand;68000,00; proposal ;19/07/2026;05/09/2027;CMP-2025-REF;PACK-2027;160,00;61200,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000037;CO003004;CO003004-P02;Exhibition stand with lockable storage;62400,00; lost ;20/08/2026;28/09/2027;CMP-2025-EVENT;LIVING-2027;;56160,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000038;CO000923;CO000923-P03;Exhibition stand with lockable storage;32000,00;Open;28/03/2026;06/11/2027;CMP-2025-REF;FOOD-2027;64,00;32000,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000039;CO008842;CO008842-P02;Stand refurbishment and installation;10200,00;WON;02/11/2023;30/04/2024;CMP-2024-WEB;BEAUTY-2024;24,00;9180,00;4,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000040;CO006761;CO006761-P02;Custom stand for product launch;96000,00;WON;30/06/2024;06/09/2024;CMP-2025-EVENT;PACK-2024;120,00;96000,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000041;CO004680;CO004680-P01;Island stand for distributor meetings;68000,00; lost ;25/05/2024;22/09/2024;;LIVING-2024;160,00;;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000042;CO002599;CO002599-P01;Island stand for distributor meetings;68000,00;WON;22/06/2024;18/10/2024;CMP-2024-WEB;FOOD-2024;160,00;74800,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000043;CO000518;CO000518-P02;Island stand for distributor meetings;16000,00;WON;17/01/2025;05/06/2025;CMP-2025-REF;BEAUTY-2025;32,00;17600,00;;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000044;CO008437;CO008437-P01;Reuse of last edition's stand;102000,00; lost ;28/05/2025;25/09/2025;;PACK-2025;240,00;102000,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000045;CO006356;CO006356-P01;Two-brand stand with shared reception;102000,00;Lost;24/07/2025;24/09/2025;CMP-2026-OUT;LIVING-2025;240,00;102000,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000046;CO004275;CO004275-P01;Island stand for distributor meetings;20400,00;WON;21/04/2025;03/11/2025;CMP-2025-EVENT;FOOD-2025;48,00;22440,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000047;CO002194;CO002194-P02;Two-brand stand with shared reception;41600,00;WON;12/01/2026;26/04/2026;CMP-2025-REF;BEAUTY-2026;64,00;37440,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000048;CO000113;CO000113-P01;Corner stand with demonstration counter;40800,00;Won;07/02/2026;19/09/2026;CMP-2026-OUT;PACK-2026;96,00;36720,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000049;CO008032;CO008032-P02;Exhibition stand with lockable storage;156000,00; lost ;17/06/2026;22/10/2026;CMP-2026-OUT;LIVING-2026;240,00;140400,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000050;CO005951;CO005951-P03;Reuse of last edition's stand;60000,00;Open;17/07/2026;20/11/2026;;FOOD-2026;120,00;66000,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000051;CO003870;;Modular stand with new graphics;41600,00;OPEN;10/05/2026;17/05/2027;CMP-2026-OUT;BEAUTY-2027;64,00;45760,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000052;CO001789;CO001789-P01;Modular stand with new graphics;28000,00;OPEN;05/03/2026;22/08/2027;;PACK-2027;80,00;30800,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000053;CO009708;CO009708-P01;Corner stand with demonstration counter;84000,00; open ;28/06/2026;19/10/2027;CMP-2025-EVENT;LIVING-2027;240,00;84000,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000054;CO007627;CO007627-P01;Reuse of last edition's stand;41600,00;Qualified;31/03/2026;16/11/2027;CMP-2025-REF;FOOD-2027;64,00;37440,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000055;CO005546;CO005546-P02;Modular stand with new graphics;40800,00;Lost;11/01/2024;25/04/2024;CMP-2024-WEB;BEAUTY-2024;96,00;36720,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000056;CO003465;CO003465-P01;Island stand for distributor meetings;64000,00;WON;11/05/2024;03/10/2024;CMP-2024-WEB;PACK-2024;80,00;57600,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000057;CO001384;CO001384-P02;Custom stand for product launch;96000,00; lost ;12/05/2024;01/10/2024;CMP-2026-OUT;LIVING-2024;120,00;86400,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000058;CO009303;CO009303-P01;Corner stand with demonstration counter;68000,00;Won;25/05/2024;;CMP-2025-REF;FOOD-2024;160,00;74800,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000059;CO007222;CO007222-P02;Stand refurbishment and installation;60000,00;WON;13/10/2024;18/05/2025;CMP-2026-OUT;BEAUTY-2025;120,00;60000,00;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000060;CO005141;CO005141-P01;Modular stand with new graphics;28000,00;Lost;04/07/2025;26/09/2025;;PACK-2025;80,00;25200,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000061;CO003060;CO003060-P01;Custom stand for product launch;22400,00; lost ;25/04/2025;22/10/2025;CMP-2026-OUT;LIVING-2025;64,00;22400,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000062;CO000979;CO000979-P01;Reuse of last edition's stand;20400,00;WON;04/04/2025;18/10/2025;CMP-2025-REF;FOOD-2025;48,00;18360,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000063;CO008898;CO008898-P01;Two-brand stand with shared reception;22400,00;Won;11/12/2025;20/05/2026;CMP-2024-WEB;BEAUTY-2026;64,00;20160,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000064;CO006817;CO006817-P01;Reuse of last edition's stand;51000,00;OPEN;06/07/2026;21/08/2026;CMP-2026-OUT;PACK-2026;120,00;56100,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000065;CO004736;CO004736-P03;Island stand for distributor meetings;13600,00; lost ;10/03/2026;13/10/2026;;LIVING-2026;32,00;14960,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000066;CO002655;CO002655-P01;Stand refurbishment and installation;128000,00;QUALIFIED;23/04/2026;16/11/2026;CMP-2025-REF;FOOD-2026;160,00;140800,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000067;CO000574;CO000574-P02;Exhibition stand with lockable storage;13600,00;Qualified;20/04/2026;29/04/2027;CMP-2024-WEB;BEAUTY-2027;32,00;12240,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000068;CO008493;;Stand refurbishment and installation;15600,00;WON;01/06/2026;24/09/2027;;PACK-2027;24,00;14040,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000069;CO006412;CO006412-P02;Stand refurbishment and installation;27200,00;Open;01/08/2026;21/10/2027;CMP-2025-EVENT;LIVING-2027;64,00;29920,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000070;CO004331;CO004331-P02;Exhibition stand with lockable storage;15600,00;Lost;01/06/2026;21/11/2027;CMP-2025-EVENT;FOOD-2027;24,00;17160,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000071;CO002250;CO002250-P01;Stand refurbishment and installation;11200,00;WON;30/12/2023;09/06/2024;;BEAUTY-2024;32,00;10080,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000072;CO000169;CO000169-P01;Corner stand with demonstration counter;68000,00;Won;22/07/2024;30/08/2024;CMP-2024-WEB;PACK-2024;160,00;74800,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000073;CO008088;CO008088-P01;Corner stand with demonstration counter;33600,00;Lost;16/02/2024;18/09/2024;CMP-2026-OUT;LIVING-2024;96,00;36960,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000074;CO006007;CO006007-P01;Reuse of last edition's stand;12000,00; lost ;20/08/2024;07/11/2024;CMP-2025-REF;FOOD-2024;;13200,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000075;CO003926;CO003926-P01;Reuse of last edition's stand;13600,00; lost ;08/11/2024;06/05/2025;;BEAUTY-2025;32,00;13600,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000076;CO001845;CO001845-P01;Island stand for distributor meetings;76800,00;Won;02/02/2025;21/09/2025;CMP-2025-EVENT;PACK-2025;96,00;69120,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000077;CO009764;CO009764-P03;Two-brand stand with shared reception;12000,00;Lost;06/03/2025;23/10/2025;CMP-2025-EVENT;LIVING-2025;24,00;13200,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000078;CO007683;CO007683-P01;Custom stand for product launch;33600,00;Won;06/05/2025;01/11/2025;CMP-2024-WEB;FOOD-2025;96,00;36960,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000079;CO005602;CO005602-P02;Modular stand with new graphics;24000,00; lost ;19/11/2025;07/06/2026;CMP-2025-EVENT;BEAUTY-2026;48,00;24000,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000080;CO003521;CO003521-P03;Island stand for distributor meetings;60000,00; proposal ;30/06/2026;28/09/2026;CMP-2024-WEB;PACK-2026;120,00;60000,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000081;CO001440;CO001440-P01;Two-brand stand with shared reception;40800,00;Proposal;19/05/2026;20/10/2026;CMP-2026-OUT;LIVING-2026;96,00;44880,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000082;CO009359;CO009359-P02;Reuse of last edition's stand;41600,00; proposal ;12/04/2026;13/11/2026;;FOOD-2026;64,00;;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000083;CO007278;CO007278-P01;Custom stand for product launch;20400,00; qualified ;02/04/2026;08/05/2027;CMP-2025-REF;BEAUTY-2027;48,00;18360,00;3,50;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000084;CO005197;CO005197-P01;Exhibition stand with lockable storage;20400,00;Open;03/04/2026;05/10/2027;CMP-2026-OUT;PACK-2027;48,00;22440,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000085;CO003116;;Corner stand with demonstration counter;34000,00; lost ;14/08/2026;07/10/2027;CMP-2024-WEB;LIVING-2027;80,00;37400,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000086;CO001035;CO001035-P01;Reuse of last edition's stand;34000,00; qualified ;18/04/2026;13/10/2027;;FOOD-2027;80,00;34000,00;;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000087;CO008954;CO008954-P01;Two-brand stand with shared reception;25600,00;Lost;23/11/2023;;CMP-2025-EVENT;BEAUTY-2024;32,00;23040,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000088;CO006873;CO006873-P01;Stand refurbishment and installation;10200,00;Lost;22/07/2024;31/08/2024;CMP-2025-EVENT;PACK-2024;24,00;11220,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000089;CO004792;CO004792-P02;Exhibition stand with lockable storage;52000,00;Lost;31/05/2024;15/10/2024;CMP-2026-OUT;LIVING-2024;80,00;57200,00;3,50;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000090;CO002711;CO002711-P01;Modular stand with new graphics;192000,00;Lost;25/08/2024;18/10/2024;CMP-2024-WEB;FOOD-2024;240,00;172800,00;4,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
OP000091;CO000630;CO000630-P01;Corner stand with demonstration counter;25600,00;WON;19/12/2024;09/06/2025;CMP-2024-WEB;BEAUTY-2025;32,00;25600,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000092;CO008549;CO008549-P03;Reuse of last edition's stand;48000,00;Won;05/02/2025;05/10/2025;;PACK-2025;96,00;43200,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000093;CO006468;CO006468-P01;Corner stand with demonstration counter;41600,00;WON;20/05/2025;24/10/2025;CMP-2024-WEB;LIVING-2025;64,00;41600,00;4,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000094;CO004387;CO004387-P01;Corner stand with demonstration counter;80000,00; lost ;17/04/2025;26/10/2025;CMP-2024-WEB;FOOD-2025;160,00;80000,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000095;CO002306;CO002306-P03;Custom stand for product launch;192000,00;WON;11/12/2025;28/04/2026;CMP-2024-WEB;BEAUTY-2026;240,00;211200,00;3,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000096;CO000225;CO000225-P01;Custom stand for product launch;156000,00;OPEN;25/04/2026;16/09/2026;CMP-2026-OUT;PACK-2026;240,00;171600,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000097;CO008144;CO008144-P02;Modular stand with new graphics;102000,00;QUALIFIED;23/02/2026;16/09/2026;CMP-2024-WEB;LIVING-2026;240,00;102000,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000098;CO006063;CO006063-P01;Corner stand with demonstration counter;33600,00; open ;12/03/2026;05/11/2026;CMP-2025-EVENT;FOOD-2026;96,00;30240,00;3,50;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000099;CO003982;CO003982-P02;Reuse of last edition's stand;31200,00; proposal ;11/06/2026;04/06/2027;;BEAUTY-2027;48,00;31200,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000100;CO001901;CO001901-P02;Stand refurbishment and installation;76800,00;Open;13/04/2026;24/09/2027;CMP-2026-OUT;PACK-2027;96,00;76800,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000101;CO009820;CO009820-P02;Reuse of last edition's stand;31200,00; qualified ;25/04/2026;25/09/2027;CMP-2024-WEB;LIVING-2027;48,00;31200,00;3,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000102;CO007739;;Exhibition stand with lockable storage;22400,00;Won;13/06/2026;12/10/2027;CMP-2024-WEB;FOOD-2027;64,00;20160,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000103;CO005658;CO005658-P01;Modular stand with new graphics;48000,00; lost ;03/03/2024;27/05/2024;;BEAUTY-2024;96,00;48000,00;3,50;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000104;CO003577;CO003577-P01;Custom stand for product launch;80000,00;Lost;27/03/2024;15/09/2024;CMP-2025-REF;PACK-2024;160,00;80000,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000105;CO001496;CO001496-P01;Two-brand stand with shared reception;48000,00;Won;11/05/2024;15/09/2024;CMP-2024-WEB;LIVING-2024;96,00;48000,00;4,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000106;CO009415;CO009415-P01;Exhibition stand with lockable storage;60000,00;Lost;30/08/2024;18/11/2024;CMP-2026-OUT;FOOD-2024;120,00;54000,00;3,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000107;CO007334;CO007334-P03;Stand refurbishment and installation;31200,00;Won;11/03/2025;15/05/2025;;BEAUTY-2025;48,00;34320,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000108;CO005253;CO005253-P01;Reuse of last edition's stand;41600,00;Lost;13/06/2025;26/09/2025;CMP-2026-OUT;PACK-2025;64,00;41600,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000109;CO003172;CO003172-P02;Two-brand stand with shared reception;11200,00;Lost;27/04/2025;05/10/2025;CMP-2025-EVENT;LIVING-2025;32,00;12320,00;4,00;Two open meeting tables, sample display and storage. Client wants to reuse last year's furniture.
OP000110;CO001091;CO001091-P03;Island stand for distributor meetings;156000,00;WON;01/06/2025;06/11/2025;;FOOD-2025;240,00;171600,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000111;CO009010;CO009010-P02;Stand refurbishment and installation;56000,00; lost ;24/12/2025;18/05/2026;CMP-2025-EVENT;BEAUTY-2026;;56000,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000112;CO006929;CO006929-P02;Exhibition stand with lockable storage;28000,00; qualified ;30/01/2026;21/08/2026;CMP-2025-EVENT;PACK-2026;80,00;28000,00;3,00;Shared reception for two brands, with separate graphics. One invoice to the main exhibitor.
OP000113;CO004848;CO004848-P01;Stand refurbishment and installation;96000,00;Won;24/07/2026;29/09/2026;CMP-2024-WEB;LIVING-2026;120,00;86400,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000114;CO002767;CO002767-P01;Two-brand stand with shared reception;20400,00;Won;13/05/2026;16/11/2026;CMP-2025-REF;FOOD-2026;48,00;18360,00;3,50;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000115;CO000686;CO000686-P02;Custom stand for product launch;42000,00; proposal ;09/04/2026;18/05/2027;CMP-2026-OUT;BEAUTY-2027;120,00;42000,00;3,50;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000116;CO008605;CO008605-P01;Corner stand with demonstration counter;31200,00;Open;30/07/2026;;CMP-2024-WEB;PACK-2027;48,00;31200,00;4,00;Demonstration counter at the front. Power requirements to be confirmed by the exhibitor.
OP000117;CO006524;CO006524-P01;Island stand for distributor meetings;192000,00;WON;13/03/2026;22/10/2027;CMP-2024-WEB;LIVING-2027;240,00;211200,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000118;CO004443;CO004443-P01;Modular stand with new graphics;102000,00;Won;13/07/2026;23/10/2027;CMP-2025-REF;FOOD-2027;240,00;91800,00;4,00;Display cases and a small store. Budget covers design, fabrication, installation and dismantling.
OP000119;CO002362;;Corner stand with demonstration counter;42000,00;Lost;15/02/2024;04/06/2024;;BEAUTY-2024;120,00;42000,00;3,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000120;CO000281;CO000281-P01;Corner stand with demonstration counter;11200,00; lost ;22/05/2024;25/08/2024;CMP-2025-EVENT;PACK-2024;32,00;11200,00;4,00;Meeting area and illuminated backdrop. Keep the graphics reusable for the next edition.
OP000121;CO008200;CO008200-P02;Island stand for distributor meetings;27200,00; lost ;25/05/2024;13/09/2024;CMP-2024-WEB;LIVING-2024;64,00;24480,00;3,00;Reception counter, product shelves and a lockable store. Artwork to follow from the agency.
